"tax_id","parent_id","rank","tax_name","root","below_root","below_below_root","below_below_below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","below_below_below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","below_below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies","below_below_subspecies"
"979","104264","species","Cellulophaga lytica","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","104264","","","","","","979","","","","",""
"1249972","104264","species","Cellulophaga sp. Hel_I_12","1","131567","","","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","104264","","","","","","1249972","","","","",""
"1710","157920","species","Cellulosimicrobium cellulans","1","131567","","","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","85017","","","","","157920","","","","","","1710","","","","",""
"264251","157920","species","Cellulosimicrobium funkei","1","131567","","","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","85017","","","","","157920","","","","","","264251","","","","",""
"155077","10","species","Cellvibrio japonicus","1","131567","","","2","","","","","","1224","","","","1236","","","","","1706369","","","","1706371","","","","","10","","","","","","155077","","","","",""
"39650","10","species","Cellvibrio mixtus","1","131567","","","2","","","","","","1224","","","","1236","","","","","1706369","","","","1706371","","","","","10","","","","","","39650","","","","",""
"1134474","10","species","Cellvibrio sp. BR","1","131567","","","2","","","","","","1224","","","","1236","","","","","1706369","","","","1706371","","","","","10","","","","","","1134474","","","","",""
"1622269","10","species","Cellvibrio sp. pealriver","1","131567","","","2","","","","","","1224","","","","1236","","","","","1706369","","","","1706371","","","","","10","","","","","","1622269","","","","",""
"82203","82202","species","Centipeda periodontii","1","131567","","","2","1783272","","","","","1239","","","","909932","","","","","909929","","","","1843491","","","","","82202","","","","","","82203","","","","",""
"649507","1133570","species","Cesiribacter andamanensis","1","131567","","","2","1783270","68336","","","","976","","","","768503","","","","","768507","","","","200667","","","","","1133570","","","","","","649507","","","","",""
"188913","180162","species","Cetobacterium somerae","1","131567","","","2","","","","","","32066","","","","203490","","","","","203491","","","","203492","","","","","180162","","","","","","188913","","","","",""
"1339239","180162","species","Cetobacterium sp. ZOR0034","1","131567","","","2","","","","","","32066","","","","203490","","","","","203491","","","","203492","","","","","180162","","","","","","1339239","","","","",""
"1173032","217161","species","Chamaesiphon minutus","1","131567","","","2","1783272","1798711","","","","1117","","","","","","","","","1890424","","","","1890431","","","","","217161","","","","","","1173032","","","","",""
"1639108","1745211","species","Chania multitudinisentens","1","131567","","","2","","","","","","1224","","","","1236","","","","","91347","","","","1903411","","","","","1745211","","","","","","1639108","","","","",""
"266779","449972","species","Chelativorans sp. BNC1","1","131567","","","2","","","","","","1224","","","","28211","","","","","356","","","","69277","","","","","449972","","","","","","266779","","","","",""
"363953","28209","species","Chelatococcus sambhunathii","1","131567","","","2","","","","","","1224","","","","28211","","","","","356","","","","2036754","","","","","28209","","","","","","363953","","","","",""
"1211115","28209","species","Chelatococcus sp. GW1","1","131567","","","2","","","","","","1224","","","","28211","","","","","356","","","","2036754","","","","","28209","","","","","","1211115","","","","",""
"505317","658623","species","Chelonobacter oris","1","131567","","","2","","","","","","1224","","","","1236","","","","","135625","","","","712","","","","","658623","","","","","","505317","","","","",""
"230667","230666","species","Chitinibacter tainanensis","1","131567","","","2","","","","","","1224","","","","28216","","","","","206351","","","","1499392","","","","","230666","","","","","","230667","","","","",""
"356302","240411","species","Chitinimonas koreensis","1","131567","","","2","","","","","","1224","","","","28216","","","","","80840","","","","119060","","","","","240411","","","","","","356302","","","","",""
"79329","79328","species","Chitinophaga pinensis","1","131567","","","2","1783270","68336","","","","976","","","","1853228","","","","","1853229","","","","563835","","","","","79328","","","","","","79329","","","","",""
"1691979","569836","species","Chitinophagaceae bacterium PMP191F","1","131567","","","2","1783270","68336","","","","976","","","","1853228","","","","","1853229","","","","563835","569836","","","","","","","","","","1691979","","","","",""
"83555","810","species","Chlamydia abortus","1","131567","","","2","1783257","","","","","204428","","","","204429","","","","","51291","","","","809","1113537","","","","810","","","","","","83555","","","","",""
"1457141","810","species","Chlamydia avium","1","131567","","","2","1783257","","","","","204428","","","","204429","","","","","51291","","","","809","1113537","","","","810","","","","","","1457141","","","","",""
"83557","810","species","Chlamydia caviae","1","131567","","","2","1783257","","","","","204428","","","","204429","","","","","51291","","","","809","1113537","","","","810","","","","","","83557","","","","",""
"83556","810","species","Chlamydia felis","1","131567","","","2","1783257","","","","","204428","","","","204429","","","","","51291","","","","809","1113537","","","","810","","","","","","83556","","","","",""
"1457153","810","species","Chlamydia gallinacea","1","131567","","","2","1783257","","","","","204428","","","","204429","","","","","51291","","","","809","1113537","","","","810","","","","","","1457153","","","","",""
"1405396","810","species","Chlamydia ibidis","1","131567","","","2","1783257","","","","","204428","","","","204429","","","","","51291","","","","809","1113537","","","","810","","","","","","1405396","","","","",""
