fastq.id	timepoint	FFile	RFile	site	replicate
Pine-3-1	3	7A_Y3.1_R1.fastq.gz	7A_Y3.1_R2.fastq.gz	Pine	1
Pine-3-2	3	7A_Y3.2_R1.fastq.gz	7A_Y3.2_R2.fastq.gz	Pine	2
Pine-3-3	3	7A_Y3.3_R1.fastq.gz	7A_Y3.3_R2.fastq.gz	Pine	3
Pine-3-4	3	7A_Y3.4_R1.fastq.gz	7A_Y3.4_R2.fastq.gz	Pine	4
Woodland-3-1	3	7A_Y4.1_R1.fastq.gz	7A_Y4.1_R2.fastq.gz	Woodland	1
Woodland-3-2	3	7A_Y4.2_R1.fastq.gz	7A_Y4.2_R2.fastq.gz	Woodland	2
Woodland-3-3	3	7A_Y4.3_R1.fastq.gz	7A_Y4.3_R2.fastq.gz	Woodland	3
Woodland-3-4	3	7A_Y4.4_R1.fastq.gz	7A_Y4.4_R2.fastq.gz	Woodland	4
Subalpine-3-1	3	7A_Y5.1_R1.fastq.gz	7A_Y5.1_R2.fastq.gz	Subalpine	1
Subalpine-3-2	3	7A_Y5.2_R1.fastq.gz	7A_Y5.2_R2.fastq.gz	Subalpine	2
Subalpine-3-3	3	7A_Y5.3_R1.fastq.gz	7A_Y5.3_R2.fastq.gz	Subalpine	3
Subalpine-3-4	3	7A_Y5.4_R1.fastq.gz	7A_Y5.4_R2.fastq.gz	Subalpine	4
Salton-3-1	3	7A_Y6.1_R1.fastq.gz	7A_Y6.1_R2.fastq.gz	Salton	1
Salton-3-2	3	7A_Y6.2_R1.fastq.gz	7A_Y6.2_R2.fastq.gz	Salton	2
Salton-3-3	3	7A_Y6.3_R1.fastq.gz	7A_Y6.3_R2.fastq.gz	Salton	3
Salton-3-4	3	7A_Y6.4_R1.fastq.gz	7A_Y6.4_R2.fastq.gz	Salton	4
